Building Name,City,Height,Floors,Completion,Material,Use,Country
Riverfront Times Square Tower 2,Shenzhen (CN),157,45,2014,concrete,residential / retail,China
Summit Terrace 1,Hong Kong (CN),157,43,2003,concrete,residential,China
Westin Hotel,Ningbo (CN),157,40,2012,,hotel,China
Savoy Place,Taichung (CN),157,39,2017,,residential,China
Nanchang World Trade Center 1,Nanchang (CN),157,38,2007,,office,China
Nanyuan New City Hotel,Ningbo (CN),157,38,2012,,hotel,China
Telecom Tower,Jiangmen (CN),157,38,2003,,office,China
The Atrium Serviced Apartments,Chengdu (CN),157,38,2015,concrete,serviced apartments,China
Huaqiang Square Block A,Shenzhen (CN),157,36,2007,,hotel / office / retail,China
Shaanxi International Mansion Tower I,Taiyuan (CN),156.9,40,2003,,office,China
Shaanxi International Mansion Tower II,Taiyuan (CN),156.9,40,2003,,hotel,China
Chiwan Headquarters Building,Shenzhen (CN),156.9,33,2018,,office,China
Le Sommet,Hong Kong (CN),156.8,50,2000,concrete,residential,China
SEC Center Office Building,Xiamen (CN),156.8,36,2014,,office,China
Hengqin Headquarters Tower 1,Zhuhai (CN),156.8,33,2017,,office,China
Huaku Sky Garden,Taipei (CN),156.7,38,2017,concrete,residential,China
Optical Valley New World Hotel,Wuhan (CN),156.7,36,2017,composite,hotel,China
Altira Macau,Macau (CN),156.7,32,2007,concrete,hotel / casino,China
La Cite 1,Macau (CN),156.7,49,2007,concrete,residential,China
La Cite 2,Macau (CN),156.7,49,2007,concrete,residential,China
La Cite 3,Macau (CN),156.7,49,2007,concrete,residential,China
La Cite 4,Macau (CN),156.7,49,2007,concrete,residential,China
La Cite 5,Macau (CN),156.7,49,2007,concrete,residential,China
Shanghai International Commerce Center Tower 1,Shanghai (CN),156.5,30,2011,,office,China
"Ellery Terrace, Kowloon",Hong Kong (CN),156.5,45,2000,concrete,residential,China
Liberte 7,Hong Kong (CN),156.4,44,2003,concrete,residential,China
Jinan Center Financial City A5-4,Jinan (CN),156.2,40,2016,composite,office,China
R&F Riverside New City - Tower 3,Harbin (CN),156.2,31,2020,composite,office,China
57 Jingshi Road,Jinan (CN),156.1,42,2008,,office,China
COSCO Tower 1,Tianjin (CN),156.1,40,1997,,office,China
Tianjin Ocean Shipping Mansion,Tianjin (CN),156,40,1997,,office,China
China Merchants Tower,Hong Kong (CN),156,38,1985,composite,office,China
Ningbo Red Giant Building,Ningbo (CN),156,38,2012,,office,China
Shun Tak Centre West,Hong Kong (CN),156,38,1985,composite,office,China
"Chengdu Fantasia Meinian Plaza, Tower A",Chengdu (CN),156,37,2016,,office,China
Excellence Century Plaza Tower 4,Shenzhen (CN),156,37,2010,composite,hotel,China
China Oceanwide SOHO City Tower 6,Wuhan (CN),156,36,2014,concrete,SOHO,China
China Oceanwide SOHO City Tower 7,Wuhan (CN),156,36,2014,concrete,SOHO,China
Sunshine Insurance Finance Plaza,Sanya (CN),156,35,2018,concrete,hotel / office / retail,China
Wanda Plaza A,Liuzhou (CN),156,35,2015,,office,China
Zhujiang New City International Tower A4,Chengdu (CN),156,35,2015,,office,China
Beaconsfield Office Building A,Zhuhai (CN),156,32,2014,,office,China
China Telecom Building,Wenzhou (CN),156,31,1999,,office,China
Harbin Bank Headquarters Building,Harbin (CN),156,30,2015,,office,China
Riverview Plaza A2,Wuhan (CN),156,29,2016,,office,China
Sunlight Tower,Hong Kong (CN),155.9,40,1999,steel,office,China
Shenzhen Xinhe World Office Tower A,Shenzhen (CN),155.9,31,2015,concrete,office,China
Shenzhen Xinhe World Office Tower B,Shenzhen (CN),155.9,31,2015,concrete,office,China
Lai San Kok,Macau (CN),155.8,52,2008,concrete,residential,China
Neo Sky Dome Tower A,(CN),155.8,40,2010,concrete,residential,China
Park Avenue Towers 6-10,Hong Kong (CN),155.6,51,2000,concrete,residential,China
Conrad Macau,Macau (CN),155.5,40,2012,concrete,hotel / casino,China
Sheraton Macau,Macau (CN),155.5,39,2012,concrete,hotel / casino,China
Holiday Inn Macau,Macau (CN),155.5,38,2012,concrete,hotel / casino,China
"St Regis Macau, Cotai Central",Macau (CN),155.5,38,2015,concrete,hotel / casino,China
Parc City Tower 7,Hong Kong (CN),155.4,48,2019,concrete,residential,China
Parc City Tower 8,Hong Kong (CN),155.4,48,2019,concrete,residential,China
The Manhattan,Hong Kong (CN),155.4,48,1986,concrete,residential,China
Vanke City South Area #22,Nanning (CN),155.3,53,2018,,residential,China
Galaxia Tower 1,Hong Kong (CN),155.3,51,1998,concrete,residential,China
Galaxia Tower 6,Hong Kong (CN),155.3,51,1998,concrete,residential,China
Henley Building,Hong Kong (CN),155.1,36,1998,,office,China
Longfor International,Chongqing (CN),155.1,42,2012,concrete,office / retail,China
Taicang New Port Businese Area NO.1 Building,Taicang (CN),155.1,36,2010,,office,China
Tierra Verde 9,Hong Kong (CN),155,48,2000,concrete,residential,China
Anshan Silong Building,Anshan (CN),155,43,2008,,office,China
Grace Mansion,Shenzhen (CN),155,43,2001,concrete,residential,China
Tianli Plaza Tower II,Wuhan (CN),155,41,2002,,,China
Goaxin International Communication Center,Xi’an (CN),155,40,2000,,office,China
The Atrium Residences,Chengdu (CN),155,40,2012,concrete,residential,China
China World Trade Center I,Beijing (CN),155,38,1989,,office,China
China World Trade Center II,Beijing (CN),155,38,1999,,office,China
Fountain Palace,Taichung (CN),155,38,2010,,residential,China
City155,Shanghai (CN),155,37,2013,concrete,SOHO / office / retail,China
Shangri-La Chengdu,Chengdu (CN),155,36,2007,,residential / hotel,China
Shanghai Times Square,Shanghai (CN),155,34,1997,,office / retail,China
Bank of Communications Tower,Hong Kong (CN),155,33,1996,concrete,office,China
Fortune Plaza A,Chongqing (CN),155,33,2009,concrete,office,China
Shen Ye Center,Shenzhen (CN),155,33,-,,office,China
Vanke Longgang Office Tower,Shenzhen (CN),155,32,2015,,office / retail,China
Shenzhen Coastal City West Tower,Shenzhen (CN),155,30,2008,,office,China
East Pacific Center Tower D,Shenzhen (CN),155,29,2010,concrete,office,China
Suncome Liauw Building,Shanghai (CN),155,29,1999,,office,China
7 Corporate Avenue,Chongqing (CN),154.7,31,2014,concrete,office,China
Jinan Center Financial City A1-5,Jinan (CN),154.6,31,2016,composite,office,China
Imperial Court Block C,Hong Kong (CN),154.5,52,1996,,residential,China
Ocean Pride Tower 5,Hong Kong (CN),154.5,48,2018,concrete,residential,China
Hua Nan Bank Headquarters,Taipei (CN),154.5,27,2014,steel,office,China
Longgang Jiuzuan Block 1A,Shenzhen (CN),154.4,31,2019,,office,China
Li Po Chun Chambers,Hong Kong (CN),154.4,31,1995,,office,China
Parisian Macao,Macau (CN),154.3,38,2016,,hotel / casino,China
Jinan Center Financial City A5-2,Jinan (CN),154.2,40,2016,composite,office,China
Sanya Haitang Bay Mangrove Resort,Sanya (CN),154.2,33,2017,composite,hotel,China
Longgang Jiuzuan Block 3C,Shenzhen (CN),154.1,31,2019,,office,China
Eka Garden B1,Shenyang (CN),154,48,2015,,residential,China
Eka Garden B2,Shenyang (CN),154,48,2015,,residential,China
Eka Garden B3,Shenyang (CN),154,48,2015,,residential,China
Eka Garden B4,Shenyang (CN),154,48,2015,,residential,China
Gulf Bank Apartments A,Zhuhai (CN),154,43,2014,concrete,residential,China
Changhong Technology Tower,Chengdu (CN),154,38,2013,,office,China
King's Residence,Kaohsiung (CN),154,36,2016,steel,residential,China
Fulong City,Nanchang (CN),154,35,2015,,office,China
MGM Grand Macau,Macau (CN),154,35,2007,,hotel / casino,China
Guangdong Color TV Center,Guangzhou (CN),154,33,1991,concrete,office,China
Dalian Telecommunications Center,Dalian (CN),154,32,1996,,office,China
President Enterprise Corporation Tower,Taipei (CN),154,30,2003,concrete,office,China
Hyatt Hotel - China Resources Center,Shenyang (CN),154,29,2013,,hotel,China
Metro City I Tower 3,Hong Kong (CN),153.9,43,1996,concrete,residential,China
Metro City I Tower 4,Hong Kong (CN),153.9,43,1996,concrete,residential,China
Metro City I Tower 5,Hong Kong (CN),153.9,43,1996,concrete,residential,China
Metro City I Tower 6,Hong Kong (CN),153.9,43,1996,concrete,residential,China
Metro City I Tower 1,Hong Kong (CN),153.9,42,1996,concrete,residential,China
Metro City I Tower 2,Hong Kong (CN),153.9,42,1996,concrete,residential,China
Platinum International Plaza,Wuhan (CN),153.9,34,2016,,office,China
Times Square H-office A,Urumqi (CN),153.8,38,2011,,office,China
Times Square H-office B,Urumqi (CN),153.8,38,2011,,office,China
ZTE Research and Development Center,Shenzhen (CN),153.8,36,2006,,office,China
China Resources Shenzhen Bay Yuefu Phase 2 Tower 2,Shenzhen (CN),153.7,43,2018,concrete,residential,China
The Panorama,Hong Kong (CN),153.7,52,1999,concrete,residential,China
Morpheus,Macau (CN),153.7,40,2018,composite,hotel / casino,China
Shuntian IFC South Tower,Changsha (CN),153.7,39,2015,,office,China
Shengda Jinpan 1,Shanghai (CN),153.6,48,2005,concrete,residential,China
Shengda Jinpan 2,Shanghai (CN),153.6,48,2005,concrete,residential,China
Shengda Jinpan 3,Shanghai (CN),153.6,48,2005,concrete,residential,China
Dawangjing 618 Tower 2,Beijing (CN),153.6,37,2018,composite,office,China
New Caohejing International Business Center A,Shanghai (CN),153.5,38,2010,,office,China
New Caohejing International Business Center B,Shanghai (CN),153.5,38,2010,,office,China
Liberte 8,Hong Kong (CN),153.4,43,2003,concrete,residential,China
Park Avenue Tower 1,Hong Kong (CN),153.3,48,2000,concrete,residential,China
Park Avenue Tower 2,Hong Kong (CN),153.3,48,2000,concrete,residential,China
Park Avenue Tower 3,Hong Kong (CN),153.3,48,2000,concrete,residential,China
Park Avenue Tower 5,Hong Kong (CN),153.3,48,2000,concrete,residential,China
Luoyang Police Communication Tower,Luoyang (CN),153.3,30,2003,,office,China
Dayong Commercial Center 1,Shenzhen (CN),153.2,35,2015,steel/concrete,office,China
Century Gateway 2,Hong Kong (CN),153,39,2014,concrete,residential,China
Le Palais,Guangzhou (CN),153,52,2000,concrete,residential,China
Longfor Century Tower 10,Chengdu (CN),153,49,-,concrete,residential,China
Longfor Century Tower 8,Chengdu (CN),153,49,-,concrete,residential,China
Longfor Century Tower 9,Chengdu (CN),153,49,-,concrete,residential,China
Mengcheng International Center,Changsha (CN),153,48,2010,,residential,China
Jin Jiang Hotel,Shanghai (CN),153,46,1988,,hotel,China
Tomson Riviera Garden 1,Shanghai (CN),153,44,2005,concrete,residential,China
Tomson Riviera Garden 2,Shanghai (CN),153,44,2005,concrete,residential,China
Dongzhao Building,Guangzhou (CN),153,42,2008,concrete,office,China
Tuntex High Rise Tower I,New Taipei City (CN),153,41,-,,residential,China
Silverstone Square,Chengdu (CN),153,38,-,,,China
Beijing IFC West Tower A/B,Beijing (CN),153,36,2010,,office,China
Times Square Tower B,Chongqing (CN),153,36,2003,,office,China
Inner Mongolia Power College,Hohhot (CN),153,34,-,,education,China
LJZ Plaza,Shanghai (CN),153,34,1999,steel,office,China
World Trade Tower,Shanghai (CN),153,31,1996,,hotel / office,China
Offices and Crowne Plaza Nanchang Riverside,Nanchang (CN),152.9,34,2011,concrete,hotel / office,China
China Travel Tower,Shenzhen (CN),152.7,31,2008,,office,China
The Apex Tower 2,Hong Kong (CN),152.7,52,2007,concrete,residential,China
The Zenith 1,Hong Kong (CN),152.7,47,2007,concrete,residential,China
Dongguan China Telecom Tower,Dongguan (CN),152.7,24,2012,,office,China
Robinson Place Tower A,Hong Kong (CN),152.7,48,1994,concrete,residential,China
Rengfeng Tower,Guangzhou (CN),152.5,41,2004,concrete,office,China
York Place,Hong Kong (CN),152.5,40,2009,concrete,residential,China
Aqua Marine Block 1,Hong Kong (CN),152.4,46,2003,concrete,residential,China
Aqua Marine Block 2,Hong Kong (CN),152.4,46,2003,concrete,residential,China
Bayshore Apartments,Hong Kong (CN),152.4,38,2001,concrete,residential,China
Hua Mao Building,Shanghai (CN),152.4,27,2001,,hotel / office,China
Thorn Cliff,Hong Kong (CN),152.1,46,1982,concrete,residential,China
Tierra Verde 7,Hong Kong (CN),152,47,2000,concrete,residential,China
Tierra Verde 8,Hong Kong (CN),152,47,2000,concrete,residential,China
Riverside Hotel Central Tower,Guangzhou (CN),152,45,1996,,office,China
Ningbo Gateway North,Ningbo (CN),152,40,2015,,hotel / residential,China
Genesis Plaza Office Building,Chengdu (CN),152,38,2013,,office,China
Shenyang Royal Wan Xin International Mansion Tower B,Shenyang (CN),152,38,2009,,multiple,China
Shenyang Royal Wan Xin International Mansion Tower C,Shenyang (CN),152,38,2009,,multiple,China
Neo China Top City A2,Chongqing (CN),152,37,2009,concrete,office / residential / retail,China
Jinyuan Center,Dongguan (CN),152,36,2001,,,China
Minyoun Tower,Chengdu (CN),152,36,2014,,office,China
Nanjing Financial City Tower 10,Nanjing (CN),152,35,2016,,office,China
Nanjing Financial City Tower 8,Nanjing (CN),152,35,2016,,office,China
Friendship Times Square Tower A,Shenyang (CN),152,34,2016,,office,China
The Peninsula Phase 4 Tower A,Shenzhen (CN),152,33,2018,concrete,hotel / office,China
Zhongxun Times,Chongqing (CN),152,33,2015,,office,China
Studio City,Macau (CN),152,32,2015,concrete,hotel / casino,China
China Securities Depository and Clearing Corporation of Shanghai International Financial Center,Shanghai (CN),152,20,2019,steel/concrete,office,China
TB Tower Building,Hangzhou (CN),152,46,2016,,residential,China
Yuda Central City - Water Gate South Gate,Laibin (CN),151.9,49,-,,residential,China
Shanghai Central Plaza,Shanghai (CN),151.9,38,1999,,office,China
World Trade Centre,Hong Kong (CN),151.9,40,1975,,office / retail,China
Gulf Bank Apartments B,Zhuhai (CN),151.8,42,2014,concrete,residential,China
Gulf Bank Apartments C,Zhuhai (CN),151.8,42,2014,concrete,residential,China
Residences Bel-Air Phase 1,Hong Kong (CN),151.5,46,2004,concrete,residential,China
Nan Fung Plaza 1,Hong Kong (CN),151.5,49,2000,concrete,residential,China
Nan Fung Plaza 2,Hong Kong (CN),151.5,49,2000,concrete,residential,China
New World Tower 1,Hong Kong (CN),151.5,43,1980,composite,office,China
Beijing Goldfield Plaza Tower A,Beijing (CN),151.4,35,2009,,office,China
More Luxurious Mansion 1,Xiamen (CN),151.3,46,2014,concrete,residential,China
More Luxurious Mansion 2,Xiamen (CN),151.3,46,2014,concrete,residential,China
More Luxurious Mansion 3,Xiamen (CN),151.3,46,2014,concrete,residential,China
The Regal Harbour 1,Guangzhou (CN),151.3,43,2005,concrete,residential,China
The Regal Harbour 2,Guangzhou (CN),151.3,43,2005,concrete,residential,China
The Regal Harbour 3,Guangzhou (CN),151.3,43,2005,concrete,residential,China
Century Gateway 6,Hong Kong (CN),151.2,41,2014,concrete,residential,China
31 Robinson Road,Hong Kong (CN),151.2,-,2007,,residential,China
China Resources Plaza Block A,Chongqing (CN),151.2,28,2015,concrete,office / retail,China
Oscar by The Sea Tower 3,Hong Kong (CN),151.1,48,2002,concrete,residential,China
The Seymour,Hong Kong (CN),151,48,2012,concrete,residential,China
Ta Ann King Building,Taichung (CN),151,45,1995,,,China
Cartier Manor 2,Nanning (CN),151,43,2014,concrete,residential,China
Jinhe International Building,Suzhou (CN),151,42,2004,,office,China
Quanlin International Plaza Main Tower,Guiyang (CN),151,40,2002,,hotel,China
Shanghai Industrial Investment Building,Shanghai (CN),151,40,1995,,office,China
MGM Grand Paradise,Macau (CN),151,36,2018,,hotel,China
Bank of Communications Building,Nanjing (CN),151,35,2013,,office,China
Peng Runda Commercial Plaza East Tower,Shenzhen (CN),151,35,2019,,hotel / office,China
Peng Runda Commercial Plaza West Tower,Shenzhen (CN),151,35,2019,,office,China
Luoyang World Trade Center,Luoyang (CN),151,33,2011,,office,China
China Central Place Tower 2,Beijing (CN),151,32,2007,concrete,office,China
Jiangxi Electric Power Mansion,Nanchang (CN),151,32,2002,,office,China
International Commercial Center,Chongqing (CN),151,31,2005,,office,China
Dynasty Court Tower 3-5,Hong Kong (CN),150.9,46,1992,concrete,residential,China
Aqua Marine Block 3,Hong Kong (CN),150.9,46,2003,concrete,residential,China
Aqua Marine Block 5,Hong Kong (CN),150.9,46,2003,concrete,residential,China
Aqua Marine Block 6,Hong Kong (CN),150.9,46,2003,concrete,residential,China
Hongta Hotel,Shanghai (CN),150.8,38,2001,,hotel,China
The Crystal Plaza,New Taipei City (CN),150.8,41,2013,steel,residential,China
Nuwa Macau,Macau (CN),150.8,36,2009,concrete,hotel / casino,China
Casin Plaza T1,Chongqing (CN),150.8,30,2014,concrete,office,China
Riverside Park #6,Laibin (CN),150.8,47,2014,,residential,China
Riverside Park #7,Laibin (CN),150.8,47,2014,,residential,China
Riverside Park #8,Laibin (CN),150.8,47,2014,,residential,China
Riverside Park #9,Laibin (CN),150.8,47,2014,,residential,China
Skyline Tower,Hong Kong (CN),150.7,38,2004,,office,China
East Point City Tower 1,Hong Kong (CN),150.6,49,2000,concrete,residential,China
East Point City Tower 2,Hong Kong (CN),150.6,49,2000,concrete,residential,China
East Point City Tower 3,Hong Kong (CN),150.6,49,2000,concrete,residential,China
East Point City Tower 5,Hong Kong (CN),150.6,49,2000,concrete,residential,China
East Point City Tower 6,Hong Kong (CN),150.6,49,2000,concrete,residential,China
East Point City Tower 7,Hong Kong (CN),150.6,49,2000,concrete,residential,China
East Point City Tower 8,Hong Kong (CN),150.6,49,2000,concrete,residential,China
Shun Tak Business Centre,Guangzhou (CN),150.6,38,2000,,office,China
Foshan Information Building,Foshan (CN),150.6,25,2003,concrete,office,China
Queen's Terrace 1,Hong Kong (CN),150.6,50,2003,concrete,residential,China
Hansen Mansion,Shenzhen (CN),150.5,33,2013,,office,China
Royal Penisula 2-5,Hong Kong (CN),150.5,50,2001,concrete,residential,China
The Cosmos 1,Guangzhou (CN),150.4,45,2006,concrete,residential,China
The Cosmos 2,Guangzhou (CN),150.4,45,2006,concrete,residential,China
Changchun Jinzuo Building 1,Changchun (CN),150.4,40,2009,,hotel / office,China
Zhengzhou Hilton Manhattan Hotel,Zhengzhou (CN),150.4,37,2014,concrete,hotel,China
Harbour One,Hong Kong (CN),150.3,38,2012,,residential,China
Sun Tuen Mun Centre 1,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 10,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 2,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 3,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 4,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 5,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 6,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 7,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 8,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Sun Tuen Mun Centre 9,Hong Kong (CN),150.3,48,1991,concrete,residential,China
Bodi Center Tower A,Hangzhou (CN),150.2,34,2017,concrete,office,China
Bodi Center Tower B,Hangzhou (CN),150.2,33,2017,concrete,office / hotel,China
2 Financial Town T3,Chongqing (CN),150.2,28,2014,concrete,office,China
Robinson Place Tower B,Hong Kong (CN),150.2,48,1994,concrete,residential,China
Provincial Cultural Center Building 3,Jinan (CN),150.2,31,2014,,,China
Beilun Financial Center,Ningbo (CN),150.1,-,2013,,office,China
First International 2,Wuxi (CN),150,50,2008,,residential,China
Xindi Center Residential Tower 1,Hefei (CN),150,50,2014,concrete,residential,China
Xindi Center Residential Tower 2,Hefei (CN),150,50,2014,concrete,residential,China
Xindi Center Residential Tower 3,Hefei (CN),150,50,2014,concrete,residential,China
Xindi Center Residential Tower 4,Hefei (CN),150,50,2014,concrete,residential,China
Xindi Center Residential Tower 5,Hefei (CN),150,50,2014,concrete,residential,China
Imperial Phoenix Apartments A,Zhuhai (CN),150,49,2015,concrete,residential,China
Imperial Phoenix Apartments B,Zhuhai (CN),150,49,2015,concrete,residential,China
Imperial Phoenix Apartments C,Zhuhai (CN),150,49,2015,concrete,residential,China
Jinyuan City Five 1#,Nanning (CN),150,49,2018,,residential,China
Jinyuan City Five 2#,Nanning (CN),150,49,2018,,residential,China
Jinyuan City Five 3#,Nanning (CN),150,49,2018,,residential,China
Jinyuan City Five 6#,Nanning (CN),150,49,2018,,residential,China
Jinyuan City Five 7#,Nanning (CN),150,49,2018,,residential,China
Jinyuan City Five 8#,Nanning (CN),150,49,2018,,residential,China
Shimao Bund Garden 1,Fuzhou (CN),150,49,2008,concrete,residential,China
King Peak Garden Block D,Guangzhou (CN),150,48,2008,,residential,China
King Peak Garden Block E,Guangzhou (CN),150,48,2008,,residential,China
Golden Mile Island,Zhuhai (CN),150,47,2009,,residential,China
Hyde Park C2,Xiamen (CN),150,47,2014,,residential,China
Hyde Park C4,Xiamen (CN),150,47,2014,,residential,China
VISTA,Hong Kong (CN),150,46,2008,concrete,residential / retail,China
Xintian CBC Tower C,Shenzhen (CN),150,46,2015,,residential,China
Bulgari Residence 1,Shanghai (CN),150,45,2017,,residential,China
Bulgari Residence 2,Shanghai (CN),150,45,2017,,residential,China
Green View Apartments R1,Shenzhen (CN),150,45,2016,concrete,residential,China
Green View Apartments R2,Shenzhen (CN),150,45,2016,concrete,residential,China
Green View Apartments R3,Shenzhen (CN),150,45,2016,concrete,residential,China
Green View Apartments R4,Shenzhen (CN),150,45,2016,concrete,residential,China
Long Light Water Yue Longwan 10,Nanning (CN),150,45,2014,,residential,China
Long Light Water Yue Longwan 11,Nanning (CN),150,45,2014,,residential,China
Shenzhen Bay Innovation and Technology Centre Tower 3,Shenzhen (CN),150,45,2020,concrete,serviced apartments,China
Dongcheng International Center Tower A,Nanjing (CN),150,44,-,,office,China
Panda Mall Hotel,Chengdu (CN),150,43,2006,,hotel,China
Shenyang Lotte World - Residential 1#,Shenyang (CN),150,43,2014,,residential,China
Shenyang Lotte World - Residential 2#,Shenyang (CN),150,43,2014,,residential,China
Shenyang Lotte World - Residential 3#,Shenyang (CN),150,43,2014,,residential,China
Shenyang Lotte World - Residential 4#,Shenyang (CN),150,43,2016,,residential,China
Vanke Apartments R1,Zhuhai (CN),150,43,2012,concrete,residential,China
Yihwa International Hotel,Taipei (CN),150,42,2014,steel,hotel,China
Fangchenggang Beibuwan Marina Center,Fangchenggang (CN),150,41,2019,,other / office,China
Guangdong Development Bank Center,Guangzhou (CN),150,41,1996,concrete,office,China
Hong Heng Century Plaza A,Zhuhai (CN),150,41,2014,concrete,residential,China
Hong Heng Century Plaza B,Zhuhai (CN),150,41,2014,concrete,residential,China
Hong Heng Century Plaza C,Zhuhai (CN),150,41,2014,concrete,residential,China
One City Leader International,Chongqing (CN),150,41,2006,,hotel / office,China
Shenzhen Rural Commercial Bank Headquarters,Shenzhen (CN),150,41,2017,composite,office,China
Sun Shine Building,Wuhan (CN),150,40,-,,,China
Xanadu Building,Kunming (CN),150,40,2016,,office,China
China Resources Center Tower B,Liuzhou (CN),150,39,2018,concrete,SOHO,China
China Resources Center Tower C,Liuzhou (CN),150,39,2018,concrete,SOHO,China
Sichuan Tobacco Tower,Chengdu (CN),150,39,2010,,office,China
Blue Ocean,New Taipei City (CN),150,38,2010,concrete,residential,China
Central Wealth District Block C,Dongguan (CN),150,38,2007,,hotel / office,China
Fanhua Square,Shenyang (CN),150,38,2012,,office,China
Hong Kong Plaza 1,Shanghai (CN),150,38,1999,,office,China
Hong Kong Plaza 2,Shanghai (CN),150,38,1999,,office,China
Nanchang World Trade Center 2,Nanchang (CN),150,38,2007,,office,China
Ningbo Shangri-La Hotel,Ningbo (CN),150,38,2010,,hotel,China
Yuda Group Headquarters Tower 2,Nanning (CN),150,38,2018,concrete,hotel,China
Bulgari Hotel,Shanghai (CN),150,37,2017,,hotel,China
Changsha Kaifu Wanda Plaza Area C Building 3,Changsha (CN),150,37,2014,,office / retail,China
Guangzhou Development Center Building,Guangzhou (CN),150,37,2004,,office,China
Kai Wah Plaza A,Kunming (CN),150,37,1999,,hotel,China
Lifan Centre A,Chongqing (CN),150,37,2014,concrete,office,China
Lifan Centre B,Chongqing (CN),150,37,2014,concrete,office,China
Sunrise Qiantang Mansion,Hangzhou (CN),150,37,2008,,office,China
Topwin Center & InterContinental Beijing Sanlitun,Beijing (CN),150,37,2016,,hotel,China
Zhongguancun Financial Center,Beijing (CN),150,37,2006,steel,residential / hotel / office,China
Central International Trade Center Tower B,Beijing (CN),150,36,2005,,office,China
Intime City,Liuzhou (CN),150,36,2015,,office,China
Rongfu Conifer Hotel,Harbin (CN),150,36,-,,hotel,China
Sheng Ao Tower,Hangzhou (CN),150,36,2008,,office,China
Xi An Hi-Tech International Business Centre Office Tower,Xi’an (CN),150,36,2002,,office,China
Xuanwu Lake Mingren Tower,Nanjing (CN),150,36,2004,,office,China
Deji Mansion,Nanjing (CN),150,35,2003,,office,China
Diamond Plaza Office Building,Chengdu (CN),150,35,2014,,office,China
Haitong Securities Building,Shanghai (CN),150,35,2003,,office,China
Hilton Hotel Tower A,Chongqing (CN),150,35,2002,,hotel / office,China
Hilton Hotel Tower B,Chongqing (CN),150,35,2002,,hotel / office,China
Huaqiang Square,Shenyang (CN),150,35,2012,,office,China
Mindray R & D Building Block B,Shenzhen (CN),150,35,2010,,office,China
Guangming Building,Shanghai (CN),150,34,2008,steel,office,China
Redwood Building,Ningbo (CN),150,34,2014,,hotel / retail,China
Baidu Headquarters West Tower,Shenzhen (CN),150,33,2018,composite,office,China
GIC Tower,Shanghai (CN),150,33,2006,,office,China
Jinan Center,Ningbo (CN),150,33,2017,,office,China
Novotel Ningbo East,Ningbo (CN),150,33,2015,,hotel,China
Qinghua Global City,Ningbo (CN),150,33,2017,,residential,China
China Oceanwide Incubation Center,Wuhan (CN),150,32,2015,concrete,office,China
Great Future,Chongqing (CN),150,32,2005,,office,China
IB Bank Headquarters,Jinan (CN),150,31,2016,composite,office,China
W Hotel,Taipei (CN),150,31,2011,,hotel / office,China
Bank of China,Fuzhou (CN),150,30,1997,,office,China
Hongkou Plaza Tower 1,Shanghai (CN),150,30,2011,,office / retail,China
Hongkou Plaza Tower 2,Shanghai (CN),150,30,2011,,office / retail,China
New World Minghui Apartments,Shenyang (CN),150,30,2013,,residential,China
Greatwall Tower 2,Wuhan (CN),150,29,2015,concrete,office / retail,China
Greenland Center Tower 3,Ningbo (CN),150,29,2019,concrete,office,China
Lucky Mansion,Shanghai (CN),150,28,1990,,,China
Shanghai Broadcasting & TV Building,Shanghai (CN),150,28,1996,,office,China
Goldin Financial Global Centre,Hong Kong (CN),150,27,2016,,office,China
Kunlun Center,Kunming (CN),150,25,2016,,office,China
Beijing Greenland Center Office Tower 1,Beijing (CN),150,-,2015,composite,office,China
Beijing Greenland Center Office Tower 2,Beijing (CN),150,-,2015,composite,office,China
Hangzhou Centre Tower E,Hangzhou (CN),150,-,2019,concrete,residential / office,China
Hunan Electric Power Co. Headquarters,Changsha (CN),150,-,-,,office,China
Tiandu Plaza Tower 2,Suzhou (CN),150,-,2018,,office,China
Zhuoyue Qianshui Wan Tower 1,Tianjin (CN),150,-,2013,concrete,residential,China
Zhuoyue Qianshui Wan Tower 2,Tianjin (CN),150,-,2013,concrete,residential,China
One World Trade Center,New York City (US),541.3,94,2014,composite,office,United States of America
Willis Tower,Chicago (US),442.1,108,1974,steel,office,United States of America
One Vanderbilt,New York City (US),427,58,2020,composite,office,United States of America
432 Park Avenue,New York City (US),425.7,85,2015,concrete,residential,United States of America
Trump International Hotel & Tower,Chicago (US),423.2,98,2009,concrete,residential / hotel,United States of America
30 Hudson Yards,New York City (US),387.1,73,2019,steel,office,United States of America
Empire State Building,New York City (US),381,102,1931,steel,office,United States of America
Bank of America Tower,New York City (US),365.8,55,2009,composite,office,United States of America
Aon Center,Chicago (US),346.3,83,1973,steel,office,United States of America
